date,activity,distance in meters,duration in seconds,notes,event name,created at,updated at
2012-06-13 12:00:00 +0100,running,11667.744,4200.0,4 x commute runs,,2012-06-18 09:40:28 +0100,2012-06-18 09:40:28 +0100
2012-06-14 12:00:00 +0100,cycling,37014.912,5100.0,Commute home,,2012-06-18 09:41:07 +0100,2012-06-18 09:41:07 +0100
2012-06-15 12:00:00 +0100,running,5632.704,1800.0,Easy run,,2012-06-18 09:41:45 +0100,2012-06-18 09:41:45 +0100
2012-06-17 12:00:00 +0100,cycling,42000.0,3960.0,Windsor tri bike,,2012-06-18 09:43:36 +0100,2012-06-18 09:43:36 +0100
2012-06-17 12:00:00 +0100,cycling,16093.44,2100.0,ride back from windsor,,2012-06-18 09:44:35 +0100,2012-06-18 09:44:35 +0100
2012-06-14 12:00:00 +0100,cycling,35405.568,5100.0,Commute in,,2012-06-18 09:40:50 +0100,2012-06-18 09:40:50 +0100
2012-06-15 12:00:00 +0100,swimming,1300.0,1500.0,Drills,,2012-06-18 09:42:09 +0100,2012-06-18 09:42:09 +0100
2012-06-17 12:00:00 +0100,running,1000.0,270.0,Windsor tri 1st run (replaced swim),,2012-06-18 09:43:10 +0100,2012-06-18 09:43:10 +0100
2012-06-17 12:00:00 +0100,swimming,2000.0,2700.0,4x400 (2 paddles),,2012-06-18 09:42:37 +0100,2012-06-18 09:42:37 +0100
2012-06-17 12:00:00 +0100,running,10000.0,2580.0,Windsor tri run,,2012-06-18 09:44:05 +0100,2012-06-18 09:44:05 +0100
2012-06-19 07:00:00 +0100,cycling,35405.568,4380.0,Commute in L3,,2012-06-19 09:31:07 +0100,2012-06-19 09:31:07 +0100
2012-06-19 12:00:00 +0100,cycling,37014.912,5400.0,Commute home L1,,2012-06-20 09:44:17 +0100,2012-06-20 09:44:17 +0100
2012-06-21 07:00:00 +0100,cycling,37100.0,5040.0,Commute in (inc L4 intervals),,2012-06-21 21:36:28 +0100,2012-06-21 21:36:28 +0100
2012-06-20 12:00:00 +0100,running,11700.0,4080.0,Commute run (split x 4),,2012-06-21 21:38:21 +0100,2012-06-21 21:38:21 +0100
2012-06-21 12:00:00 +0100,cycling,43300.0,6480.0,Commute home (L1/RR),,2012-06-21 21:37:42 +0100,2012-06-21 21:37:42 +0100
2012-06-22 12:00:00 +0100,running,10850.0,2979.0,VW loop (shortest) inc 30 L4,,2012-06-25 10:19:59 +0100,2012-06-25 10:19:59 +0100
2012-06-24 12:00:00 +0100,cycling,71650.0,9060.0,High Wycombe/Marlow L2,,2012-06-25 10:23:58 +0100,2012-06-25 10:23:58 +0100
2012-06-24 12:00:00 +0100,running,8630.0,2700.0,4x6 @ L4,,2012-06-25 10:24:49 +0100,2012-06-25 10:24:49 +0100
2012-06-23 12:00:00 +0100,cycling,47500.0,5880.0,Local hills,,2012-06-25 10:20:39 +0100,2012-06-25 10:20:39 +0100
2012-06-23 12:00:00 +0100,running,3160.0,930.0,Brick run,,2012-06-25 10:21:21 +0100,2012-06-25 10:21:21 +0100
2012-06-22 12:00:00 +0100,swimming,2200.0,2400.0,6/6/6 (9 paddles) 38:40,,2012-06-25 10:22:10 +0100,2012-06-25 10:22:10 +0100
2012-06-24 12:00:00 +0100,swimming,1500.0,2100.0,Drills,,2012-06-25 10:23:13 +0100,2012-06-25 10:23:13 +0100
2009-11-26 23:33:01 +0000,cycling,20921.472,3600.0,Commute,,2009-11-26 23:33:16 +0000,2009-11-26 23:33:16 +0000
2012-06-25 12:00:00 +0100,swimming,1000.0,1200.0,quick swim,,2012-06-26 12:04:09 +0100,2012-06-26 12:04:09 +0100
2012-06-25 12:00:00 +0100,cycling,11265.408,1800.0,Local,,2012-06-26 12:04:40 +0100,2012-06-26 12:04:40 +0100
2012-06-26 12:00:00 +0100,cycling,41500.0,5400.0,Commute in L3,,2012-06-26 20:31:43 +0100,2012-06-26 20:31:43 +0100
2012-06-26 14:00:00 +0100,cycling,35000.0,5280.0,Commute home L1,,2012-06-26 20:32:25 +0100,2012-06-26 20:32:25 +0100
2012-06-27 12:00:00 +0100,running,14700.0,4800.0,Split x4 run inc 30m L4,,2012-06-28 13:10:08 +0100,2012-06-28 13:10:08 +0100
2012-06-28 12:00:00 +0100,cycling,42000.0,5400.0,Commute in inc L4 intervals,,2012-06-28 13:10:56 +0100,2012-06-28 13:10:56 +0100
2012-06-28 12:00:00 +0100,cycling,50000.0,7200.0,Commute home L1,,2012-07-02 18:55:32 +0100,2012-07-02 18:55:32 +0100
2012-07-02 12:00:00 +0100,swimming,1500.0,1800.0,6x200 + warmdown (cramping),,2012-07-02 15:45:57 +0100,2012-07-02 15:45:57 +0100
2012-06-29 12:00:00 +0100,running,11600.0,3510.0,VW loop inc 45 L3,,2012-07-02 18:56:41 +0100,2012-07-02 18:56:41 +0100
2012-06-30 12:00:00 +0100,cycling,110600.0,14280.0,6 hills,,2012-07-02 18:58:34 +0100,2012-07-02 18:58:34 +0100
2012-07-02 12:00:00 +0100,running,10850.0,3170.0,VW loop inc 8x3 @ L4-5,,2012-07-02 15:45:22 +0100,2012-07-02 15:45:22 +0100
2012-07-05 08:00:00 +0100,cycling,35000.0,4290.0,Commute in inc L4-5 ints,,2012-07-05 09:11:24 +0100,2012-07-05 09:11:24 +0100
2012-07-03 07:00:00 +0100,cycling,35000.0,4980.0,Commute in L1,,2012-07-05 10:27:21 +0100,2012-07-05 10:27:21 +0100
2012-07-04 12:00:00 +0100,running,2414.016,870.0,Easy jog - sore from fall,,2012-07-05 09:12:45 +0100,2012-07-05 09:12:45 +0100
2012-07-03 15:00:00 +0100,cycling,34700.0,5220.0,Commute home inc ints. Fell near home,,2012-07-05 10:28:04 +0100,2012-07-05 10:28:04 +0100
2012-07-12 06:00:00 +0100,swimming,1500.0,1800.0,Easy swim,,2012-07-12 09:37:16 +0100,2012-07-12 09:37:16 +0100
2012-07-07 12:00:00 +0100,swimming,1500.0,1647.0,Pembrokeshire Tri Swim,,2012-07-12 09:38:02 +0100,2012-07-12 09:38:02 +0100
2012-07-09 12:00:00 +0100,cycling,25000.0,4080.0,Quick ride - very hilly,,2012-07-12 09:40:34 +0100,2012-07-12 09:40:34 +0100
2012-07-10 12:00:00 +0100,cycling,35000.0,4620.0,Ride with Nigel,,2012-07-12 09:46:02 +0100,2012-07-12 09:46:02 +0100
2012-07-10 12:00:00 +0100,swimming,400.0,600.0,Quick paddle,,2012-07-12 09:47:24 +0100,2012-07-12 09:47:24 +0100
2012-07-07 12:00:00 +0100,cycling,43000.0,4800.0,Pembrokeshire Tri bike,,2012-07-12 09:38:34 +0100,2012-07-12 09:38:34 +0100
2012-07-07 12:00:00 +0100,running,10600.0,3222.0,Pembrokeshire Tri run,,2012-07-12 09:39:30 +0100,2012-07-12 09:39:30 +0100
2012-07-09 14:00:00 +0100,cycling,18500.0,2520.0,Quick ride,,2012-07-12 09:42:31 +0100,2012-07-12 09:42:31 +0100
2012-07-10 12:00:00 +0100,running,15600.0,6600.0,Snowdon (1004m vertical),,2012-07-12 09:45:16 +0100,2012-07-12 09:45:16 +0100
2012-07-11 12:00:00 +0100,cycling,35000.0,4560.0,Ride with Nigel,,2012-07-12 09:47:00 +0100,2012-07-12 09:47:00 +0100
2009-10-24 16:49:01 +0100,cycling,12874.752,1800.0,Quick turbo set. Hip felt fine.,,2009-10-25 16:50:21 +0000,2009-10-25 16:50:21 +0000
2009-10-25 16:36:01 +0000,swimming,800.0,1200.0,Quick swim in Virgin Active (nice!),,2009-10-25 16:38:12 +0000,2009-10-25 16:38:12 +0000
2009-10-25 16:38:01 +0000,cycling,40233.6,4800.0,"Out and about town (marshalling Jekyll & Hyde), partly on trek. Hip slightly sore but ok. Did a gym session in the afternoon (weights & core).",,2009-10-25 16:49:00 +0000,2009-10-25 16:49:00 +0000
2009-10-26 12:35:01 +0000,swimming,1200.0,1200.0,Quick swim at ULU inc pull and kick,,2009-10-26 12:35:32 +0000,2009-10-26 12:35:32 +0000
2009-10-26 18:49:01 +0000,cycling,20921.472,3600.0,Commute,,2009-10-26 18:49:34 +0000,2009-10-26 18:49:34 +0000
2009-10-27 22:22:01 +0000,cycling,27358.848,4800.0,Commute + local,,2009-10-27 22:22:28 +0000,2009-10-27 22:22:28 +0000
2009-10-28 09:49:00 +0000,cycling,20921.472,3600.0,Commute,,2009-10-29 10:15:57 +0000,2009-10-29 10:15:57 +0000
2009-10-28 14:11:01 +0000,running,8046.72,2520.0,"Regents Park loop, fairly easy. Slight hip pain (3/10) and a little bit sore afterwards - on the road to recovery?!",,2009-10-28 14:12:34 +0000,2009-10-28 14:12:34 +0000
2009-10-29 18:14:01 +0000,running,1609.344,480.0,Jog to bank and back,,2009-10-30 18:14:34 +0000,2009-10-30 18:14:34 +0000
2012-07-13 12:00:00 +0100,swimming,1000.0,1200.0,quick swim,,2012-07-17 06:35:25 +0100,2012-07-17 06:35:25 +0100
2012-07-09 12:00:00 +0100,swimming,1500.0,1800.0,5x300,,2012-07-17 06:37:35 +0100,2012-07-17 06:37:35 +0100
2012-07-13 12:00:00 +0100,cycling,14000.0,2340.0,Easy spin,,2012-07-17 06:38:37 +0100,2012-07-17 06:38:37 +0100
2012-07-15 12:00:00 +0100,cycling,195000.0,26520.0,Tour of the Black Mountains sportive,,2012-07-17 06:39:26 +0100,2012-07-17 06:39:26 +0100
2012-07-16 12:00:00 +0100,cycling,21000.0,3360.0,local,,2012-07-17 06:40:12 +0100,2012-07-17 06:40:12 +0100
2012-07-17 07:00:00 +0100,cycling,40000.0,5340.0,Commute in,,2012-07-19 13:08:54 +0100,2012-07-19 13:08:54 +0100
2012-07-17 15:00:00 +0100,cycling,16000.0,2460.0,Commute home (slough train),,2012-07-19 13:09:38 +0100,2012-07-19 13:09:38 +0100
2012-07-18 12:00:00 +0100,swimming,2200.0,2640.0,6/6/6 inc 9 paddles (40:00),,2012-07-19 13:07:49 +0100,2012-07-19 13:07:49 +0100
2012-07-18 14:00:00 +0100,running,5450.0,1980.0,Easy run inc 5x1 pickups,,2012-07-19 13:08:24 +0100,2012-07-19 13:08:24 +0100
2012-07-19 15:00:00 +0100,cycling,35000.0,5220.0,Commute home L2,,2012-07-24 09:45:21 +0100,2012-07-24 09:45:21 +0100
2012-07-20 12:00:00 +0100,swimming,1800.0,2100.0,15x100 efforts,,2012-07-24 09:46:30 +0100,2012-07-24 09:46:30 +0100
2012-07-23 12:00:00 +0100,swimming,500.0,900.0,Easy swim,,2012-07-24 09:40:44 +0100,2012-07-24 09:40:44 +0100
2012-07-22 12:00:00 +0100,running,6200.0,2400.0,Easy run inc 5x1 pickups. 217m elevation!,,2012-07-24 09:41:36 +0100,2012-07-24 09:41:36 +0100
2012-07-19 15:00:00 +0100,running,2300.0,678.0,Brick run,,2012-07-24 09:48:28 +0100,2012-07-24 09:48:28 +0100
2012-07-23 12:00:00 +0100,cycling,23400.0,2520.0,Easy spin with 5x1 pickups,,2012-07-24 09:40:15 +0100,2012-07-24 09:40:15 +0100
2012-07-20 12:00:00 +0100,running,8100.0,2670.0,L3,,2012-07-24 09:43:44 +0100,2012-07-24 09:43:44 +0100
2012-07-19 07:00:00 +0100,cycling,35340.0,4620.0,Commute in L1,,2012-07-19 13:07:20 +0100,2012-07-19 13:07:20 +0100
2012-07-25 07:00:00 +0100,swimming,2400.0,2700.0,Alpe D'Huez tri swim (longer than 2.2k advertised),,2012-07-29 16:32:45 +0100,2012-07-29 16:32:45 +0100
2012-07-28 12:00:00 +0100,cycling,22000.0,2700.0,Quick ride in France,,2012-07-29 16:40:19 +0100,2012-07-29 16:40:19 +0100
2012-07-25 10:00:00 +0100,cycling,115000.0,18600.0,Alpe D'Huez bike leg. Fell to bits on the final climb ...,,2012-07-29 16:51:16 +0100,2012-07-29 16:51:16 +0100
2012-07-25 12:00:00 +0100,running,22000.0,9600.0,Alpe D'Huez run leg. Walked a lot of it ...,,2012-07-29 16:52:15 +0100,2012-07-29 16:52:15 +0100
2012-07-27 12:00:00 +0100,swimming,800.0,900.0,Quick lake swim,,2012-07-29 16:33:45 +0100,2012-07-29 16:33:45 +0100
2012-07-29 12:00:00 +0100,cycling,61000.0,7380.0,L1-L2,,2012-07-29 16:35:54 +0100,2012-07-29 16:35:54 +0100
2012-07-31 12:00:00 +0100,cycling,35200.0,4560.0,Commute in,,2012-08-02 14:57:34 +0100,2012-08-02 14:57:34 +0100
2012-07-31 12:00:00 +0100,cycling,15100.0,1970.0,local,,2012-08-02 14:58:31 +0100,2012-08-02 14:58:31 +0100
2012-07-30 12:00:00 +0100,cycling,11265.408,1800.0,local,,2012-08-02 14:56:01 +0100,2012-08-02 14:56:01 +0100
2012-08-04 12:00:00 +0100,cycling,22500.0,2700.0,Park loop,,2012-08-07 10:56:48 +0100,2012-08-07 10:56:48 +0100
2012-08-05 12:00:00 +0100,swimming,750.0,960.0,Thorpe Aquathon swim. Back still not right,,2012-08-07 10:57:33 +0100,2012-08-07 10:57:33 +0100
2012-08-05 12:00:00 +0100,running,5000.0,1130.0,Thorpe Aquathon run,,2012-08-07 10:58:00 +0100,2012-08-07 10:58:00 +0100
2012-08-05 12:00:00 +0100,cycling,11700.0,1980.0,VW loop,,2012-08-07 10:58:33 +0100,2012-08-07 10:58:33 +0100
2012-08-03 12:00:00 +0100,running,1600.0,600.0,Attempted run - back sore,,2012-08-07 10:59:51 +0100,2012-08-07 10:59:51 +0100
2012-08-05 07:00:00 +0100,cycling,16000.0,1980.0,Thorpe lake and back,,2012-08-07 11:02:26 +0100,2012-08-07 11:02:26 +0100
2012-08-07 07:00:00 +0100,cycling,35400.0,4200.0,Commute in L3-4,,2012-08-07 11:03:29 +0100,2012-08-07 11:03:29 +0100
2012-08-03 12:00:00 +0100,swimming,400.0,600.0,Attempted swim - back sore,,2012-08-07 10:59:12 +0100,2012-08-07 10:59:12 +0100
2012-08-06 12:00:00 +0100,cycling,8046.72,1200.0,local,,2012-08-07 11:02:56 +0100,2012-08-07 11:02:56 +0100
